id,mammal_id,spcrecid,kingdom,phylum,class,order_team,family,genus,species,authority,infraspecific_rank,infraspecific_name,infraspecific_authority,stock_subpopulation,synonyms,common_names_eng,common_names_fre,common_names_spa,red_list_status_id,red_list_criteria,red_list_criteria_version,year_assessed,population_trend,petitioned,mass,guild,wpi_include
1,42641,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Abditomys,latidens,"(Sanborn, 1952)",,,,,,Luzon Broad-toothed Rat,,,7,,3.1,2008,unknown,N,,,
2,17879,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Abeomelomys,sevia,"(Tate & Archbold, 1935)",,,,,,"Highland Brush Mouse, Menzies' Mouse",,,8,,3.1,2008,unknown,N,,,
3,16,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrawayaomys,ruschii,"Cunha & Cruz, 1979",,,,,,Rushi's Rat,,,8,,3.1,2008,unknown,N,,,
4,42656,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,bennettii,"Waterhouse, 1837",,,,,,Bennett's Chinchilla Rat,,,8,,3.1,2008,unknown,N,,,
5,18,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,boliviensis,"Glanz & Anderson, 1990",,,,,,"Bolivian Chinchilla Rat, Bolivian Chincilla Rat",,,3,"B1ab(i,ii,iii)",3.1,2008,decreasing,N,,,
6,136334,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,budini,"Thomas, 1920",,,,,,Budins Chinchilla Rat,,,7,,3.1,2008,unknown,N,,,
7,42657,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,cinerea,"Thomas, 1919",,,,,,Ashy Chinchilla Rat,,,8,,3.1,2008,stable,N,,,
8,136367,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,famatina,"Thomas, 1920",,,,,,Famatina Chinchilla Rat,,,7,,3.1,2008,unknown,N,,,
9,136525,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,shistacea,"Thomas, 1921",,,,,,Sierra Del Tontal Chinchilla Rat,,,7,,3.1,2008,unknown,N,,,
10,136302,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,uspallata,"Braun & Mares, 2002",,,,,,Uspallata Chinchilla Rat,,,7,,3.1,2008,unknown,N,,,
11,136546,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,vaccarum,"Thomas, 1921",,,,,,Mendozan Chinchilla Rat,,,7,,3.1,2008,unknown,N,,,
12,4803,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,andinus,"(Philippi, 1858)",,,,,,"Andean Akodont, Andean Altiplano Mouse",,,8,,3.1,2008,unknown,N,,,
13,734,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,hershkovitzi,"(Patterson, Gallardo & Freas, 1984)",,,,,,"Hershkovitzs Akodont, Hershkovitz's Grass Mouse",,,8,,3.1,2008,stable,N,,,
14,735,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,illuteus,"Thomas, 1925",,,,,,"Gray Akodont, Gray Grass Mouse",,,9,,3.1,2008,decreasing,N,,,
15,4804,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,jelskii,"(Thomas, 1894)",,,,,,Jelski's Altiplano Mouse,,,8,,3.1,2008,stable,N,,,
16,740,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,lanosus,"(Thomas, 1897)",,,,,,"Woolly Grass Mouse, Wooly Akodont",,,8,,3.1,2008,stable,N,,,
17,743,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,longipilis,"(Waterhouse, 1837)",,,,,,"Long-haired Akodont, Long-haired Grass Mouse",,,8,,3.1,2008,decreasing,N,,,
18,745,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,markhami,"(Pine, 1973)",,,,,,Markham's Grass Mouse,,,8,,3.1,2008,stable,N,,,
19,751,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,olivaceus,"(Waterhouse, 1837)",,,,,,Olive Grass Mouse,,,8,,3.1,2008,stable,N,,,
20,754,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,sanborni,"(Osgood, 1943)",,,,,,Sanborn's Grass Mouse,,,9,,3.1,2008,decreasing,N,,,
21,137,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,celebensis,"Peters, 1867",,,,,,"Sulawesi Acerodon, Sulawesi Flying-fox, Sulawesi Fruit Bat",,Zorro Volador De Las Célebes,8,,3.1,2008,unknown,N,,,
22,138,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,humilis,"K. Andersen, 1909",,,,,,"Talaud Acerodon, Talaud Flying-fox, Talaud Fruit Bat",,Zorro Volador De Talaud,4,"B1ab(iii,v)",3.1,2008,decreasing,N,,,
23,139,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,jubatus,"(Eschscholtz, 1831)",,,,,,"Golden-capped Fruit Bat, Golden-crowned Flying Fox",,Zorro Volador Filipino,4,A2cd,3.1,2008,decreasing,N,,,
24,140,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,leucotis,"(Sanborn, 1950)",,,,,,"Palawan Flying Fox, Palawan Fruit Bat",,Zorro Volador De Calamian,5,A4cd,3.1,2008,decreasing,N,,,
25,142,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,mackloti,"(Temminck, 1837)",,,,,,"Sunda Flying-fox, Sunda Fruit Bat",,Zorro Volador De Macklot,5,A3cd,3.1,2008,decreasing,N,,,
26,219,,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Acinonyx,jubatus,"(Schreber, 1775)",,,,,,"Cheetah, Hunting Leopard",Guépard,"Chita, Guepardo",5,A2acd; C1,3.1,2008,decreasing,N,,,
27,44936,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,airensis,"Thomas & Hinton, 1921",,,,,,Western Saharan Spiny Mouse,,,8,,3.1,2008,stable,N,,,
28,263,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,cahirinus,"(É. Geoffroy, 1803)",,,,,,"Cairo Spiny Mouse, Greater Wilfred's Mouse, Northeast African Spiny Mouse",,,8,,3.1,2008,stable,N,,,
29,264,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,cilicicus,"Spitzenberger, 1978",,,,,,Asia Minor Spiny Mouse,,,7,,3.1,2008,unknown,N,,,
30,265,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,cineraceus,"Heuglin, 1877",,,,,,"Gray Spiny Mouse, Grey Spiny Mouse",,,8,,3.1,2008,stable,N,,,
31,136471,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,dimidiatus,"(Cretzschmar, 1826)",,,,,,Arabian Spiny Mouse,,,8,,3.1,2008,unknown,N,,,
32,266,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,ignitus,"Dollman, 1910",,,,,,Fiery Spiny Mouse,,,8,,3.1,2008,stable,N,,,
33,44938,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,johannis,"Thomas, 1912",,,,,,"Johan's Spiny Mouse, Johans Spiny Mouse",,,8,,3.1,2008,stable,N,,,
34,267,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,kempi,"Dollman, 1911",,,,,,Kemp's Spiny Mouse,,,8,,3.1,2008,stable,N,,,
35,268,,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,louisae,"Thomas, 1896",,,,,,Louise's Spiny Mouse,,,8,,3.1,2008,stable,N,,,
